name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Lyngvej,0,3993570,0,1,1,279.48,,50,,residential,6,"LINESTRING (12.5161704 55.7787000, 12.5159497 55.7788879, 12.5158363 55.7790185, 12.5157674 55.7791579, 12.5157268 55.7793525, 12.5156980 55.7795074, 12.5156246 55.7796688, 12.5155341 55.7797735, 12.5154134 55.7798706, 12.5152798 55.7799681, 12.5151369 55.7800463, 12.5148826 55.7801370, 12.5146368 55.7802073, 12.5145740 55.7802220, 12.5144697 55.7802463, 12.5141045 55.7802926, 12.5136970 55.7803042, 12.5134514 55.7802897)",auto,1,0,,
Lyngvej,1,3993570,1,0,1,279.48,,50,,residential,6,"LINESTRING (12.5134514 55.7802897, 12.5136970 55.7803042, 12.5141045 55.7802926, 12.5144697 55.7802463, 12.5145740 55.7802220, 12.5146368 55.7802073, 12.5148826 55.7801370, 12.5151369 55.7800463, 12.5152798 55.7799681, 12.5154134 55.7798706, 12.5155341 55.7797735, 12.5156246 55.7796688, 12.5156980 55.7795074, 12.5157268 55.7793525, 12.5157674 55.7791579, 12.5158363 55.7790185, 12.5159497 55.7788879, 12.5161704 55.7787000)",auto,1,0,,
Lyngvej,2,3993570,1,2,1,145.74,,50,,residential,6,"LINESTRING (12.5134514 55.7802897, 12.5132817 55.7802731, 12.5130361 55.7802485, 12.5128099 55.7802174, 12.5127496 55.7802085, 12.5126055 55.7801871, 12.5124087 55.7801451, 12.5121812 55.7800967, 12.5119459 55.7800403, 12.5116656 55.7799521, 12.5112966 55.7798306)",auto,1,0,,
Lyngvej,3,3993570,2,1,1,145.74,,50,,residential,6,"LINESTRING (12.5112966 55.7798306, 12.5116656 55.7799521, 12.5119459 55.7800403, 12.5121812 55.7800967, 12.5124087 55.7801451, 12.5126055 55.7801871, 12.5127496 55.7802085, 12.5128099 55.7802174, 12.5130361 55.7802485, 12.5132817 55.7802731, 12.5134514 55.7802897)",auto,1,0,,
Lyngvej,4,3993570,2,3,1,154.72,,50,,residential,6,"LINESTRING (12.5112966 55.7798306, 12.5110524 55.7797149, 12.5108492 55.7796043, 12.5106778 55.7794975, 12.5102424 55.7792262, 12.5100650 55.7791119, 12.5099520 55.7790208, 12.5099305 55.7790034, 12.5098287 55.7789214, 12.5097990 55.7788892, 12.5097717 55.7788596, 12.5097000 55.7787820)",auto,1,0,,
Lyngvej,5,3993570,3,2,1,154.72,,50,,residential,6,"LINESTRING (12.5097000 55.7787820, 12.5097717 55.7788596, 12.5097990 55.7788892, 12.5098287 55.7789214, 12.5099305 55.7790034, 12.5099520 55.7790208, 12.5100650 55.7791119, 12.5102424 55.7792262, 12.5106778 55.7794975, 12.5108492 55.7796043, 12.5110524 55.7797149, 12.5112966 55.7798306)",auto,1,0,,
Lundtoftevej,6,4374464,4,5,1,18.88,1,50,,tertiary,5,"LINESTRING (12.5097000 55.7803303, 12.5097451 55.7803667, 12.5098724 55.7804693)",auto,1,0,,
Lundtoftevej,7,4374464,5,4,1,18.88,1,50,,tertiary,5,"LINESTRING (12.5098724 55.7804693, 12.5097451 55.7803667, 12.5097000 55.7803303)",auto,1,0,,
Lundtoftevej,8,4374464,5,6,1,116.91,1,50,,tertiary,5,"LINESTRING (12.5098724 55.7804693, 12.5101991 55.7807488, 12.5102548 55.7808114, 12.5103965 55.7809708, 12.5104355 55.7810318, 12.5104631 55.7810750, 12.5104829 55.7811060, 12.5105939 55.7812797, 12.5106696 55.7814121)",auto,1,0,,
Lundtoftevej,9,4374464,6,5,1,116.91,1,50,,tertiary,5,"LINESTRING (12.5106696 55.7814121, 12.5105939 55.7812797, 12.5104829 55.7811060, 12.5104631 55.7810750, 12.5104355 55.7810318, 12.5103965 55.7809708, 12.5102548 55.7808114, 12.5101991 55.7807488, 12.5098724 55.7804693)",auto,1,0,,
Lundtoftevej,10,4374464,6,7,1,264.58,1,50,,tertiary,5,"LINESTRING (12.5106696 55.7814121, 12.5110049 55.7821425, 12.5111425 55.7824422, 12.5112723 55.7827248, 12.5113900 55.7829102, 12.5116156 55.7832654, 12.5119563 55.7836693)",auto,1,0,,
Lundtoftevej,11,4374464,7,6,1,264.58,1,50,,tertiary,5,"LINESTRING (12.5119563 55.7836693, 12.5116156 55.7832654, 12.5113900 55.7829102, 12.5112723 55.7827248, 12.5111425 55.7824422, 12.5110049 55.7821425, 12.5106696 55.7814121)",auto,1,0,,
Lundtoftevej,12,4374464,7,8,1,211.14,1,50,,tertiary,5,"LINESTRING (12.5119563 55.7836693, 12.5122806 55.7839666, 12.5132662 55.7848701, 12.5134130 55.7850090, 12.5137090 55.7852890)",auto,1,0,,
Lundtoftevej,13,4374464,8,7,1,211.14,1,50,,tertiary,5,"LINESTRING (12.5137090 55.7852890, 12.5134130 55.7850090, 12.5132662 55.7848701, 12.5122806 55.7839666, 12.5119563 55.7836693)",auto,1,0,,
Lundtoftevej,14,4374464,8,9,1,2.8,1,50,,tertiary,5,"LINESTRING (12.5137090 55.7852890, 12.5137348 55.7853095)",auto,1,0,,
Lundtoftevej,15,4374464,9,8,1,2.8,1,50,,tertiary,5,"LINESTRING (12.5137348 55.7853095, 12.5137090 55.7852890)",auto,1,0,,
Gyrithe Lemches Vej,16,4374466,10,11,1,238.0,1,50,,tertiary,5,"LINESTRING (12.5134935 55.7864059, 12.5131709 55.7864112, 12.5125853 55.7864220, 12.5117834 55.7864339, 12.5117507 55.7864344, 12.5113901 55.7864404, 12.5104077 55.7864583, 12.5097000 55.7864689)",auto,1,0,,
Gyrithe Lemches Vej,17,4374466,11,10,1,238.0,1,50,,tertiary,5,"LINESTRING (12.5097000 55.7864689, 12.5104077 55.7864583, 12.5113901 55.7864404, 12.5117507 55.7864344, 12.5117834 55.7864339, 12.5125853 55.7864220, 12.5131709 55.7864112, 12.5134935 55.7864059)",auto,1,0,,
Lundtoftevej,18,11551219,12,13,1,30.98,1,50,,tertiary,5,"LINESTRING (12.5154017 55.7863543, 12.5154965 55.7863865, 12.5156451 55.7864043, 12.5156860 55.7864173, 12.5157208 55.7864320, 12.5157390 55.7864503, 12.5157511 55.7864704, 12.5157491 55.7864889, 12.5157440 55.7865074)",auto,0,0,,
Helsingørmotorvejen,19,23433402,14,15,1,469.94,3,110,,motorway,1,"LINESTRING (12.5267523 55.7813060, 12.5282985 55.7854377)",auto,0,0,,
Lundtoftevej,20,25441648,16,17,1,506.75,,30,,unclassified,11,"LINESTRING (12.5211324 55.7933660, 12.5217816 55.7933295, 12.5219680 55.7933190, 12.5225253 55.7932876, 12.5236396 55.7932248, 12.5248726 55.7931553, 12.5255946 55.7931146, 12.5267646 55.7930487, 12.5270240 55.7930341, 12.5274069 55.7930125, 12.5276849 55.7929969, 12.5285589 55.7929488, 12.5285932 55.7929423, 12.5286466 55.7929304, 12.5291692 55.7929013)",auto,1,0,,
Lundtoftevej,21,25441648,17,16,1,506.75,,30,,unclassified,11,"LINESTRING (12.5291692 55.7929013, 12.5286466 55.7929304, 12.5285932 55.7929423, 12.5285589 55.7929488, 12.5276849 55.7929969, 12.5274069 55.7930125, 12.5270240 55.7930341, 12.5267646 55.7930487, 12.5255946 55.7931146, 12.5248726 55.7931553, 12.5236396 55.7932248, 12.5225253 55.7932876, 12.5219680 55.7933190, 12.5217816 55.7933295, 12.5211324 55.7933660)",auto,1,0,,
Poppelhegnet,22,25446124,2,18,1,150.88,,50,,residential,6,"LINESTRING (12.5112966 55.7798306, 12.5116034 55.7796977, 12.5118245 55.7795682, 12.5119415 55.7794713, 12.5121550 55.7792516, 12.5122274 55.7791572, 12.5123359 55.7790157, 12.5124971 55.7787627, 12.5125231 55.7787000)",auto,1,0,,
Poppelhegnet,23,25446124,18,2,1,150.88,,50,,residential,6,"LINESTRING (12.5125231 55.7787000, 12.5124971 55.7787627, 12.5123359 55.7790157, 12.5122274 55.7791572, 12.5121550 55.7792516, 12.5119415 55.7794713, 12.5118245 55.7795682, 12.5116034 55.7796977, 12.5112966 55.7798306)",auto,1,0,,
Granåsen,24,25494359,19,20,1,42.67,,,,residential,6,"LINESTRING (12.5168873 55.7889226, 12.5171667 55.7888211, 12.5173294 55.7887514, 12.5174437 55.7887024)",auto,0,0,,
Kulsviertoften,25,25494400,21,22,1,103.1,,,,residential,6,"LINESTRING (12.5125734 55.7924547, 12.5128348 55.7924688, 12.5129552 55.7924635, 12.5131093 55.7924408, 12.5132566 55.7924064, 12.5141271 55.7922033)",auto,1,0,,
Kulsviertoften,26,25494400,22,21,1,103.1,,,,residential,6,"LINESTRING (12.5141271 55.7922033, 12.5132566 55.7924064, 12.5131093 55.7924408, 12.5129552 55.7924635, 12.5128348 55.7924688, 12.5125734 55.7924547)",auto,1,0,,
