name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,,,,,,12.5161704,55.7787,,,boundary node created by osm2gmns
,1,1605856410,,,,,,,12.5134514,55.7802897,,,
,2,20927634,,,,,,,12.5112966,55.7798306,,,
,3,,,,,,,,12.5097,55.778782,,,boundary node created by osm2gmns
,4,,,,,,,,12.5097,55.7803303,,,boundary node created by osm2gmns
,5,277311468,,,,,,,12.5098724,55.7804693,,,
,6,199187457,,,,,,,12.5106696,55.7814121,,,
,7,202370553,,,,,,,12.5119563,55.7836693,,,
,8,280708163,,,,,,,12.513709,55.785289,,,
,9,5638133858,,,,,,,12.5137348,55.7853095,,,
,10,2457629649,,,,,,,12.5134935,55.7864059,,,
,11,,,,,,,,12.5097,55.7864689,,,boundary node created by osm2gmns
,12,202367589,,,,,,,12.5154017,55.7863543,,,
,13,4100140883,,,,,,,12.515744,55.7865074,,,
,14,13120195,,,,,,,12.5267523,55.781306,,,
,15,1573307122,,,,,,,12.5282985,55.7854377,,,
,16,277272497,,,,,,,12.5211324,55.793366,,,
,17,2027824,,,,,,,12.5291692,55.7929013,,,
,18,,,,,,,,12.5125231,55.7787,,,boundary node created by osm2gmns
,19,4889872629,,,,,,,12.5168873,55.7889226,,,
,20,202367586,,,,,,,12.5174437,55.7887024,,,
,21,26846299,,,,,,,12.5125734,55.7924547,,,
,22,277798961,,,,,,,12.5141271,55.7922033,,,
,23,277798079,,,,,,,12.5151393,55.7893682,,,
,24,277799021,,,,,,,12.5152845,55.7902248,,,
,25,5227920776,,,,,,,12.5139152,55.7904936,,,
,26,277799113,,,,,,,12.5136921,55.7905389,,,
,27,277799174,,,,,,,12.5184989,55.7898151,,,
,28,277799425,,,,,,,12.5175338,55.7922998,,,
,29,,,,,,,,12.5178797,55.7936,,,boundary node created by osm2gmns
,30,202349866,,,,,,,12.5126408,55.793513,,,
,31,,,,,,,,12.5193859,55.7936,,,boundary node created by osm2gmns
,32,277799876,,,,,,,12.5209266,55.7930684,,,
,33,199187456,,,,,,,12.5122589,55.7811443,,,
,34,278404436,,,,,,,12.5129786,55.7824598,,,
