name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Danmarks Tekniske Universitet,0,25567300,,,university,,"POLYGON ((12.5205983 55.7923978, 12.5287714 55.7919289, 12.5282501 55.7903394, 12.5243417 55.7799533, 12.5197424 55.7790389, 12.5191306 55.7789281, 12.517168 55.7785797, 12.5172171 55.7784345, 12.5168979 55.7784338, 12.5165932 55.7784148, 12.5165163 55.7785401, 12.5160967 55.7791667, 12.5161442 55.7792112, 12.5160073 55.7794248, 12.5157625 55.7797986, 12.515703 55.7797848, 12.5156713 55.7798308, 12.515623 55.7798844, 12.5155531 55.7799299, 12.5154298 55.7800244, 12.51522 55.7801331, 12.5150443 55.7801987, 12.5147292 55.7803035, 12.5145977 55.7804235, 12.5145776 55.7805132, 12.5145267 55.7805554, 12.5140506 55.7808254, 12.5138735 55.7808812, 12.5137113 55.7809009, 12.5135423 55.7809095, 12.5134477 55.7809472, 12.5124598 55.7807675, 12.5118346 55.7806538, 12.5118047 55.7806478, 12.5114334 55.7805739, 12.5110855 55.7803611, 12.5109117 55.7803786, 12.5108371 55.7804242, 12.5106057 55.7805419, 12.5103781 55.7806592, 12.5103503 55.7806729, 12.5105515 55.7809246, 12.5106774 55.7810912, 12.510755 55.7812129, 12.5108646 55.7814398, 12.511167 55.7821214, 12.5117002 55.783002, 12.5121083 55.7835789, 12.5121821 55.7836832, 12.5138311 55.7852365, 12.5139231 55.7853219, 12.5141439 55.785507, 12.5142881 55.785661, 12.5143437 55.7857324, 12.5144865 55.7859154, 12.5145746 55.7861116, 12.5146039 55.7862091, 12.5146377 55.7862319, 12.5146951 55.7862385, 12.5149309 55.7862322, 12.5151995 55.7862387, 12.5160692 55.7863173, 12.5159261 55.7866304, 12.5158707 55.7867475, 12.5158747 55.786907, 12.5159426 55.7870688, 12.5160625 55.7872351, 12.5179666 55.7890029, 12.5183222 55.7893691, 12.5186499 55.7898027, 12.5205983 55.7923978))",POINT (12.5204902 55.7853127),1018308.5,10960970.9
116,1,25567337,,university,,,"POLYGON ((12.5241555 55.7892078, 12.5257391 55.7889351, 12.5261041 55.7896053, 12.5258597 55.7896474, 12.5255246 55.7890322, 12.5253186 55.7890676, 12.5256563 55.7896877, 12.5249615 55.7898073, 12.5246265 55.7891922, 12.5244302 55.789226, 12.5247645 55.7898397, 12.5245224 55.7898814, 12.5241555 55.7892078))",POINT (12.5251226 55.7894002),6251.4,67289.4
,2,25604194,,yes,,,"POLYGON ((12.5225564 55.7780874, 12.5227492 55.7780832, 12.5227975 55.7787785, 12.5226046 55.7787827, 12.5225564 55.7780874))",POINT (12.5226769 55.778433),937.5,10090.7
229,3,25629213,,university,,,"POLYGON ((12.519432 55.7894081, 12.5202497 55.7892653, 12.5210485 55.7891258, 12.5211237 55.7892608, 12.5195072 55.7895437, 12.519432 55.7894081))",POINT (12.5202773 55.7893347),1674.7,18026.2
,4,25629215,,university,,,"POLYGON ((12.5190196 55.7886304, 12.5198215 55.7884917, 12.5200044 55.7884593, 12.5206488 55.7883466, 12.5207233 55.7884818, 12.5198935 55.7886264, 12.5190941 55.7887656, 12.5190196 55.7886304))",POINT (12.5198718 55.7885563),1680.4,18087.8
115,5,25629249,,university,,,"POLYGON ((12.5260286 55.7889872, 12.5262538 55.7889479, 12.5260265 55.7885362, 12.5260124 55.7885107, 12.525766 55.7880645, 12.5255409 55.7881038, 12.5255897 55.7881922, 12.525781 55.7885388, 12.5260286 55.7889872))",POINT (12.5258973 55.7885259),1522.1,16383.8
119,6,25629254,,university,,,"POLYGON ((12.5249183 55.7905696, 12.5250234 55.7907575, 12.5269509 55.7904167, 12.5269172 55.7903564, 12.5274185 55.7902678, 12.5273471 55.7901402, 12.5272192 55.7901628, 12.5268459 55.7902288, 12.5249183 55.7905696))",POINT (12.5261144 55.7904564),3267.9,35175.3
118,7,25629259,,university,,,"POLYGON ((12.5247212 55.7902512, 12.5254726 55.7901189, 12.5262929 55.7899745, 12.5263177 55.790019, 12.5263293 55.7900398, 12.5263601 55.7900952, 12.5263412 55.7900985, 12.5256411 55.7902218, 12.5248596 55.7903593, 12.5247884 55.7903719, 12.5247212 55.7902512))",POINT (12.5255407 55.7901732),1453.6,15646.2
221,8,25629261,,university,,,"POLYGON ((12.5202888 55.7880304, 12.5219068 55.7877525, 12.5219799 55.787887, 12.5203619 55.788165, 12.5202888 55.7880304))",POINT (12.5211343 55.7879587),1661.2,17880.6
204,9,25629263,,university,,,"POLYGON ((12.5199172 55.7873461, 12.5199909 55.7874817, 12.52161 55.7872035, 12.5215363 55.7870679, 12.5199172 55.7873461))",POINT (12.5207636 55.7872748),1675.4,18033.6
201,10,25629268,,university,,,"POLYGON ((12.5194206 55.7864529, 12.5193448 55.7863154, 12.5209659 55.786033, 12.5210416 55.7861706, 12.5194206 55.7864529))",POINT (12.5201933 55.786243),1705.5,18357.9
208,11,25629273,,university,,,"POLYGON ((12.5193427 55.7874821, 12.5191959 55.7872175, 12.5184429 55.7873495, 12.5176173 55.7874942, 12.5177641 55.7877589, 12.5183605 55.7876543, 12.5184947 55.7876308, 12.5188573 55.7875672, 12.5193021 55.7874893, 12.5193427 55.7874821))",POINT (12.51848 55.7874882),3199.3,34436.4
207,12,25629275,,university,,,"POLYGON ((12.5190237 55.7868996, 12.5189471 55.7867631, 12.5181604 55.7869028, 12.5181196 55.78691, 12.5173264 55.7870508, 12.517403 55.7871873, 12.5190237 55.7868996))",POINT (12.518175 55.7869752),1697.7,18273.5
206,13,25629277,,university,,,"POLYGON ((12.5171343 55.7867087, 12.5172127 55.7868484, 12.5180009 55.7867085, 12.5180418 55.7867012, 12.518755 55.7865746, 12.518835 55.7865604, 12.5187565 55.7864208, 12.5171343 55.7867087))",POINT (12.5179845 55.7866346),1738.8,18716.5
309,14,25629285,,university,,,"POLYGON ((12.5167033 55.7858858, 12.5175034 55.7857437, 12.5182289 55.7856139, 12.5183089 55.7856007, 12.5183786 55.7857273, 12.5182802 55.7857446, 12.5170262 55.7859651, 12.5167734 55.7860095, 12.5167033 55.7858858))",POINT (12.5175446 55.7858051),1543.9,16618.3
306,15,25629288,,university,,,"POLYGON ((12.5186093 55.7856965, 12.5191066 55.7856112, 12.5190273 55.785465, 12.5190167 55.7854455, 12.5189464 55.7853159, 12.5186838 55.7848316, 12.5182524 55.7849056, 12.5181865 55.7849169, 12.5185002 55.7854953, 12.5185161 55.7855246, 12.518525 55.785541, 12.518535 55.7855594, 12.5186093 55.7856965))",POINT (12.5186465 55.785264),2957.4,31833.7
301,16,25629297,,university,,,"POLYGON ((12.5190496 55.7857992, 12.5191194 55.7859254, 12.5207447 55.785641, 12.5206748 55.7855148, 12.5198607 55.7856573, 12.5190496 55.7857992))",POINT (12.5198971 55.7857201),1570.0,16899.2
307,17,25629299,,university,,,"POLYGON ((12.5168838 55.7847665, 12.5169408 55.7847567, 12.5169916 55.7847479, 12.5185113 55.7844851, 12.5185828 55.7846159, 12.5184936 55.7846313, 12.5177537 55.7847593, 12.5169554 55.7848974, 12.5168838 55.7847665))",POINT (12.5177332 55.7846912),1626.5,17507.3
304,18,25629305,,university,,,"POLYGON ((12.5192016 55.7846039, 12.5190574 55.7843424, 12.5192489 55.784309, 12.5193438 55.7842924, 12.5199391 55.7841887, 12.5200833 55.7844502, 12.5192016 55.7846039))",POINT (12.5195703 55.7843963),1764.2,18989.3
305,19,25629312,,university,,,"POLYGON ((12.5189091 55.7840919, 12.519801 55.7839365, 12.5198387 55.7840049, 12.5198719 55.7840651, 12.5197838 55.7840805, 12.5192758 55.784169, 12.5191809 55.7841855, 12.51898 55.7842206, 12.5189091 55.7840919))",POINT (12.5193905 55.7840785),877.7,9448.0
325,20,25629317,,university,,,"POLYGON ((12.5163434 55.7838309, 12.5174269 55.7836436, 12.5178011 55.7835789, 12.5179651 55.7835506, 12.5180361 55.7836805, 12.5172597 55.7838147, 12.5172105 55.7838232, 12.5164139 55.783961, 12.5163434 55.7838309))",POINT (12.5171895 55.7837557),1610.1,17330.8
413,21,25629331,,university,,,"POLYGON ((12.5218402 55.7837253, 12.5222739 55.783653, 12.521934 55.7830127, 12.5216504 55.7830593, 12.5214898 55.7830872, 12.5218402 55.7837253))",POINT (12.5218837 55.783368),2136.7,22999.5
412,22,25629335,,university,,,"POLYGON ((12.5221708 55.7843488, 12.5225532 55.7842821, 12.5223142 55.7838482, 12.5219404 55.783908, 12.5221656 55.7843181, 12.5221708 55.7843488))",POINT (12.5222469 55.7840967),1241.1,13359.3
414,23,25629340,,university,,,"POLYGON ((12.5214951 55.7827764, 12.5216504 55.7830593, 12.5214898 55.7830872, 12.5213345 55.7828043, 12.5211166 55.7824073, 12.5210976 55.7823727, 12.521539 55.7822961, 12.521544 55.7823051, 12.5215501 55.7823162, 12.5217759 55.7827277, 12.5214951 55.7827764))",POINT (12.5214475 55.7826237),1803.8,19416.3
421,24,25629342,,university,,,"POLYGON ((12.5203529 55.782064, 12.5210853 55.7819329, 12.5217205 55.7818199, 12.5225521 55.7816809, 12.5226574 55.7818722, 12.5204582 55.7822553, 12.5203529 55.782064))",POINT (12.5215054 55.7819665),3265.0,35144.5
427,25,25629351,,university,,,"POLYGON ((12.5221706 55.7814091, 12.5219809 55.7810647, 12.5219053 55.7809275, 12.521717 55.7805856, 12.5210925 55.7806944, 12.5214669 55.7813689, 12.5215502 55.7815171, 12.5221063 55.7814203, 12.5221706 55.7814091))",POINT (12.5216322 55.7810512),3923.5,42231.9
373,26,25629371,,university,,,"POLYGON ((12.513981 55.7821156, 12.5140345 55.7821063, 12.5139825 55.7820119, 12.5139289 55.7820212, 12.5137124 55.7816285, 12.513482 55.7816687, 12.5135106 55.7817206, 12.5130895 55.781794, 12.5129775 55.7815909, 12.51261 55.781655, 12.5127835 55.7819698, 12.5131597 55.7819042, 12.5131551 55.7818958, 12.513567 55.781824, 12.5136808 55.7820305, 12.5128936 55.7821677, 12.512951 55.7822719, 12.5137396 55.7821345, 12.5142454 55.7830523, 12.5142866 55.7831271, 12.5143798 55.7831109, 12.5145163 55.7830871, 12.513981 55.7821156))",POINT (12.5136299 55.7821813),4452.3,47923.7
,27,25629377,,university,,,"POLYGON ((12.5123605 55.7833118, 12.5129373 55.7832123, 12.5128253 55.7830097, 12.5122345 55.783113, 12.512155 55.7829692, 12.51276 55.7828634, 12.5126453 55.7826558, 12.512035 55.7827625, 12.5119566 55.7826207, 12.5125584 55.7825155, 12.5124547 55.7823279, 12.5126694 55.7822904, 12.5128284 55.7825779, 12.5129443 55.7825576, 12.513253 55.7831158, 12.5132136 55.7831227, 12.5132345 55.7831606, 12.5138278 55.7830582, 12.5139031 55.7831962, 12.5124358 55.7834496, 12.5123605 55.7833118))",POINT (12.5128253 55.7829418),4820.6,51888.9
349,28,25629385,,university,,,"POLYGON ((12.5160056 55.7817446, 12.5169041 55.7815905, 12.5169754 55.7817219, 12.51616 55.7818618, 12.5161064 55.7818709, 12.5160769 55.781876, 12.5160056 55.7817446))",POINT (12.5164905 55.7817333),900.9,9697.6
450,29,25629388,,university,,,"POLYGON ((12.5203404 55.7795605, 12.5207945 55.7794811, 12.5209318 55.779729, 12.5204812 55.7798123, 12.5204051 55.7796763, 12.5203404 55.7795605))",POINT (12.5206363 55.7796458),867.9,9342.5
329,30,25629402,,university,,,"POLYGON ((12.5152968 55.7835955, 12.5158384 55.7835061, 12.5158645 55.7835581, 12.51606 55.7839171, 12.5161118 55.7839082, 12.516164 55.784004, 12.5161796 55.7840269, 12.5157783 55.7840931, 12.5156092 55.7837691, 12.5154049 55.7838028, 12.5152968 55.7835955))",POINT (12.5157533 55.7837835),1741.8,18748.6
Oticonsalen,31,25636885,,yes,,,"POLYGON ((12.5258346 55.7867156, 12.5257859 55.786768, 12.5257532 55.7868031, 12.525654 55.7869098, 12.525745 55.7869365, 12.5257066 55.7869778, 12.5260324 55.7870736, 12.5262118 55.7868807, 12.5261881 55.7868738, 12.5262277 55.7868312, 12.5258346 55.7867156))",POINT (12.5259406 55.786893),829.8,8932.1
223,32,25636889,,university,,,"POLYGON ((12.5214432 55.7886707, 12.5223317 55.7885159, 12.5224056 55.7886502, 12.5215172 55.7888049, 12.5214432 55.7886707))",POINT (12.5219245 55.7886604),912.3,9819.7
224,33,25636892,,university,,,"POLYGON ((12.521616 55.7890117, 12.5225062 55.7888566, 12.5225812 55.7889927, 12.521691 55.7891478, 12.521616 55.7890117))",POINT (12.5220986 55.7890022),926.7,9975.1
117,34,25636894,,university,,,"POLYGON ((12.5264516 55.7888564, 12.5267911 55.788797, 12.5270378 55.7892426, 12.5266982 55.789302, 12.5264516 55.7888564))",POINT (12.5267447 55.7890495),1158.2,12466.5
321,35,25636898,,university,,,"POLYGON ((12.5187312 55.7837681, 12.5196177 55.7836101, 12.5196796 55.78372, 12.5187931 55.783878, 12.5187312 55.7837681))",POINT (12.5192054 55.783744),748.3,8054.5
322,36,25636899,,university,,,"POLYGON ((12.5185487 55.7834433, 12.5194401 55.7832899, 12.519512 55.783422, 12.5186207 55.7835754, 12.5185487 55.7834433))",POINT (12.5190304 55.7834327),898.9,9675.7
326,37,25636901,,university,,,"POLYGON ((12.5161662 55.7835061, 12.5162279 55.7834955, 12.5162521 55.7834913, 12.5162771 55.783487, 12.5170556 55.783353, 12.5171278 55.7834854, 12.5162384 55.7836386, 12.5161662 55.7835061))",POINT (12.5166469 55.7834958),899.4,9681.5
327,38,25636903,,university,,,"POLYGON ((12.5160032 55.7831844, 12.5168765 55.783034, 12.5169464 55.7831623, 12.5161728 55.7832956, 12.516148 55.7832999, 12.5161236 55.7833041, 12.5160731 55.7833128, 12.5160032 55.7831844))",POINT (12.5164748 55.7831734),855.7,9210.9
425,39,25636923,,university,,,"POLYGON ((12.5194949 55.7807923, 12.5203589 55.7806418, 12.5204316 55.7807673, 12.51957 55.780922, 12.5194949 55.7807923))",POINT (12.5199615 55.7807813),847.2,9119.3
424,40,25636925,,university,,,"POLYGON ((12.5196574 55.7811119, 12.5205417 55.7809629, 12.5206168 55.7810899, 12.5197276 55.7812402, 12.5196574 55.7811119))",POINT (12.5201357 55.7811013),866.0,9321.7
423,41,25636926,,university,,,"POLYGON ((12.5198568 55.7814401, 12.5207258 55.7812837, 12.5207992 55.7814156, 12.5199314 55.7815713, 12.5198568 55.7814401))",POINT (12.5203285 55.7814276),878.0,9450.9
,42,25636935,,yes,,,"POLYGON ((12.5208264 55.780205, 12.5214513 55.7800961, 12.5215304 55.7802398, 12.5216061 55.7803772, 12.5216431 55.7804443, 12.5210181 55.7805532, 12.5208264 55.780205))",POINT (12.5212347 55.7803247),1664.7,17918.4
402,43,25636940,,university,,,"POLYGON ((12.5215192 55.7844738, 12.5217426 55.7844349, 12.5217114 55.7843782, 12.521699 55.7843558, 12.5215148 55.7840214, 12.5215038 55.7840014, 12.5214883 55.7839733, 12.5212649 55.7840122, 12.5215192 55.7844738))",POINT (12.5215037 55.7842235),788.8,8490.5
403,44,25636943,,university,,,"POLYGON ((12.5208861 55.7832532, 12.521098 55.7832174, 12.5211104 55.7832405, 12.5211223 55.7832628, 12.5213129 55.7836193, 12.5213251 55.7836422, 12.521342 55.7836737, 12.5211301 55.7837095, 12.5211059 55.7836642, 12.5208861 55.7832532))",POINT (12.5211141 55.7834634),735.8,7920.4
404,45,25636945,,university,,,"POLYGON ((12.5204508 55.7824907, 12.5206504 55.782456, 12.520667 55.7824861, 12.5206813 55.7825121, 12.5208708 55.7828568, 12.5208816 55.7828764, 12.5209117 55.7829311, 12.5207121 55.7829658, 12.5206833 55.7829134, 12.5204508 55.7824907))",POINT (12.5206812 55.7827109),725.2,7805.9
Lyngby Handelsskole U/NORD,46,26406764,,,school,,"POLYGON ((12.5090912 55.7861862, 12.5090486 55.7852713, 12.5133358 55.7851999, 12.5139983 55.7858499, 12.5141324 55.7861606, 12.5141439 55.7862822, 12.5139508 55.7863109, 12.5091944 55.7863634, 12.5090912 55.7861862))",POINT (12.5114762 55.7857998),36756.3,395641.0
343,47,26448823,,university,,,"POLYGON ((12.5178354 55.7821527, 12.5178934 55.7821428, 12.5179153 55.782139, 12.5179418 55.7821345, 12.5186772 55.7820088, 12.5187318 55.7819995, 12.5188039 55.7821329, 12.5181459 55.7822454, 12.5180623 55.7822597, 12.5180244 55.7822662, 12.5179955 55.7822711, 12.5179682 55.7822758, 12.5179075 55.7822862, 12.5178354 55.7821527))",POINT (12.5183196 55.7821428),912.1,9818.2
348,48,30104021,,university,,,"POLYGON ((12.5161964 55.7820764, 12.5162679 55.7822064, 12.5171482 55.782053, 12.5170767 55.7819231, 12.516271 55.7820635, 12.5162175 55.7820728, 12.5161964 55.7820764))",POINT (12.5166723 55.7820647),874.7,9415.5
Villum Kann Rasmussen Kollegiet,49,30116617,,dormitory,,,"POLYGON ((12.5248078 55.7844444, 12.5246886 55.784465, 12.5247827 55.7846372, 12.5254659 55.7845192, 12.5253706 55.7843449, 12.5252608 55.7841439, 12.5249523 55.7841972, 12.5249875 55.7842617, 12.5251807 55.7842282, 12.5253155 55.784475, 12.5248669 55.7845525, 12.5248078 55.7844444))",POINT (12.5251236 55.7844212),802.2,8634.6
114,50,30117115,,university,,,"POLYGON ((12.5254506 55.7879805, 12.5255004 55.7880707, 12.5255206 55.7881074, 12.5255409 55.7881038, 12.5255897 55.7881922, 12.5255312 55.7882021, 12.5237602 55.7885115, 12.5237147 55.788429, 12.5254757 55.7881217, 12.5254046 55.7879928, 12.5236484 55.7882994, 12.5235527 55.7881262, 12.5254919 55.7877877, 12.5255854 55.787957, 12.5254506 55.7879805))",POINT (12.5246055 55.7881255),3766.7,40544.1
240,51,30117642,,university,,,"POLYGON ((12.51897 55.7890479, 12.5187986 55.7890775, 12.5188955 55.7892496, 12.5190652 55.7892205, 12.51897 55.7890479))",POINT (12.5189323 55.7891487),224.8,2419.9
222,52,30117657,,university,,,"POLYGON ((12.5216463 55.7883855, 12.521312 55.7884437, 12.5212381 55.7883096, 12.5215724 55.7882514, 12.5216463 55.7883855))",POINT (12.5214422 55.7883475),342.9,3690.8
302,53,30117972,,university,,,"POLYGON ((12.5192336 55.7856261, 12.5191361 55.7854463, 12.5191255 55.7854269, 12.5190687 55.7853222, 12.5192642 55.7852886, 12.5194386 55.7852587, 12.5196035 55.7855627, 12.5192336 55.7856261))",POINT (12.5193361 55.7854424),857.8,9232.8
,54,30119347,,yes,,,"POLYGON ((12.5256629 55.786777, 12.5257532 55.7868031, 12.5257859 55.786768, 12.5257043 55.7867443, 12.5256959 55.7867264, 12.5256638 55.7866581, 12.525601 55.7866685, 12.5256629 55.786777))",POINT (12.525683 55.786735),69.9,752.1
113,55,30119535,,university,,,"POLYGON ((12.5260265 55.7885362, 12.5262625 55.788495, 12.526305 55.788572, 12.526631 55.7885151, 12.5265753 55.7884141, 12.526987 55.7883422, 12.5269112 55.7882049, 12.5265489 55.7882681, 12.5265069 55.788192, 12.5263376 55.7882216, 12.5264546 55.7884335, 12.5260124 55.7885107, 12.5260265 55.7885362))",POINT (12.5265675 55.7883669),957.6,10307.2
Produktionstorvet,56,30135171,,,parking,,"POLYGON ((12.5208806 55.7814732, 12.5209195 55.7814663, 12.5213867 55.7813832, 12.521423 55.7813767, 12.5208061 55.7802058, 12.5202256 55.7803046, 12.5208806 55.7814732))",POINT (12.5208303 55.7808339),5018.0,54013.1
342,57,30135181,,university,,,"POLYGON ((12.5171359 55.7826106, 12.5171231 55.7825869, 12.5171099 55.7825625, 12.5169679 55.7825868, 12.5167919 55.7822612, 12.5172191 55.7821882, 12.5172566 55.7822576, 12.5173971 55.7825175, 12.5172579 55.7825413, 12.5172703 55.7825643, 12.5172819 55.7825857, 12.5171359 55.7826106))",POINT (12.5170992 55.7823969),1118.0,12034.1
Studentertorvet,58,30135214,,,parking,,"POLYGON ((12.5231833 55.7875014, 12.5230131 55.7871946, 12.5255353 55.786753, 12.5257007 55.7870548, 12.5231833 55.7875014))",POINT (12.5243544 55.7871266),5871.6,63201.2
,59,31246239,,,parking,,"POLYGON ((12.5254292 55.7889124, 12.5243675 55.7890858, 12.5240722 55.7885431, 12.5251154 55.7883619, 12.5254292 55.7889124))",POINT (12.524748 55.7887261),4391.6,47270.9
,60,48182866,,industrial,,,"POLYGON ((12.5227766 55.7844678, 12.5228374 55.7844743, 12.5228985 55.7844688, 12.5229401 55.7844571, 12.5229846 55.7844328, 12.5230096 55.7844081, 12.5230178 55.7843821, 12.5230121 55.7843473, 12.5229853 55.7843157, 12.5229557 55.7842976, 12.5229022 55.78428, 12.5228411 55.7842738, 12.5227856 55.7842785, 12.5227307 55.7842947, 12.5226892 55.7843205, 12.5226674 55.7843487, 12.5226625 55.7843834, 12.5226788 55.7844169, 12.5227145 55.7844453, 12.5227766 55.7844678))",POINT (12.5228404 55.784374),385.3,4147.3
,61,48182867,,yes,,,"POLYGON ((12.5237155 55.7849357, 12.5241357 55.7848625, 12.5238113 55.7842737, 12.5233818 55.7843485, 12.5234483 55.7844691, 12.5237793 55.7844114, 12.5239079 55.7846448, 12.5235862 55.7847007, 12.5237155 55.7849357))",POINT (12.5237961 55.7846244),1326.7,14280.7
,62,48182869,,,kindergarten,,"POLYGON ((12.5308542 55.788106, 12.5314255 55.7881001, 12.531417 55.7878386, 12.5308457 55.7878445, 12.5308542 55.788106))",POINT (12.5311356 55.7879723),1043.0,11226.6
,63,48303620,,yes,,,"POLYGON ((12.5232602 55.7841213, 12.5230297 55.7836987, 12.5231386 55.7836813, 12.5233684 55.7840989, 12.5232602 55.7841213))",POINT (12.5231995 55.7839007),350.3,3770.2
,64,48303621,,yes,,,"POLYGON ((12.5235801 55.7840639, 12.5236828 55.7840467, 12.5234621 55.7836306, 12.5233594 55.7836478, 12.5235801 55.7840639))",POINT (12.5235211 55.7838473),324.8,3495.8
,65,48303623,,yes,,,"POLYGON ((12.5234034 55.7849999, 12.5229796 55.7850736, 12.5228508 55.7848396, 12.5229836 55.7848165, 12.5229537 55.7847621, 12.5226683 55.7848118, 12.5225817 55.7846546, 12.5228103 55.7846148, 12.522777 55.7845543, 12.523072 55.7845029, 12.5232171 55.7847663, 12.5232697 55.7847572, 12.5234034 55.7849999))",POINT (12.5230164 55.7847901),1627.2,17515.1
